season,player,position,age,team,games,player_efficiency_rating,points,rebounds,assists,steals,blocks
2017,A.J. Hammons,C,24,DAL,22,8.4,48,36,4,1,13
2017,Aaron Brooks,PG,32,IND,65,9.5,322,69,125,25,9
2017,Aaron Gordon,SF,21,ORL,80,14.4,1019,405,150,64,40
2017,Aaron Harrison,SG,22,CHO,5,-2.2,1,3,3,0,0
2017,Adreian Payne,PF,25,MIN,18,14.4,63,33,7,8,7
2017,Al Horford,C,30,BOS,68,17.7,952,464,337,52,87
2017,Al Jefferson,C,32,IND,66,18.9,535,278,57,19,16
2017,Al-Farouq Aminu,SF,26,POR,61,11.3,532,451,99,60,44
2017,Alan Anderson,SF,34,LAC,30,5,86,24,11,3,0
2017,Alan Williams,C,24,PHO,47,19.5,346,292,23,27,32
2017,Alec Burks,SG,25,UTA,42,11.6,283,120,30,18,5
2017,Alex Abrines,SG,23,OKC,68,10.1,406,86,40,37,8
2017,Alex Len,C,23,PHO,77,15,613,510,44,37,98
2017,Alex Poythress,PF,23,PHI,6,13.2,64,29,5,3,2
2017,Alexis Ajinca,C,28,NOP,39,12.9,207,177,12,20,22
2017,Allen Crabbe,SG,24,POR,79,11.6,845,225,93,54,20
2017,Alonzo Gee,SF,29,DEN,13,3.1,11,15,6,5,1
2017,Amir Johnson,PF,29,BOS,80,15,520,365,140,52,62
2017,Anderson Varejao,C,34,GSW,14,9.4,18,27,10,3,3
2017,Andre Drummond,C,23,DET,81,20.9,1105,1116,89,124,89
2017,Andre Iguodala,SF,33,GSW,76,14.4,574,304,262,76,39
2017,Andre Roberson,SF,25,OKC,79,9.6,522,402,79,94,79
2017,Andrew Bogut,C,32,DAL,26,9.4,79,218,49,13,25
2017,Andrew Bogut,C,32,CLE,1,-35.3,0,0,0,0,0
2017,Andrew Harrison,PG,22,MEM,72,8.7,425,136,198,54,20
2017,Andrew Nicholson,PF,27,WAS,28,6.3,70,34,7,11,6
2017,Andrew Nicholson,PF,27,BRK,10,5,30,27,3,5,0
2017,Andrew Wiggins,SF,21,MIN,82,16.5,1933,329,189,82,30
2017,Anthony Bennett,PF,23,BRK,23,14.7,115,78,12,5,3
2017,Anthony Brown,SF,24,NOP,9,5.9,34,26,6,5,1
2017,Anthony Brown,SF,24,ORL,2,18.5,9,7,2,0,0
2017,Anthony Davis,C,23,NOP,75,27.5,2099,886,157,94,167
2017,Anthony Morrow,SG,31,OKC,40,9.2,230,29,19,22,2
2017,Anthony Morrow,SG,31,CHI,9,16,41,2,6,2,0
2017,Anthony Tolliver,PF,31,SAC,65,11.1,461,239,77,33,20
2017,Archie Goodwin,SG,22,NOP,3,19.7,15,0,1,0,1
2017,Archie Goodwin,SG,22,BRK,12,18.6,95,28,23,4,4
2017,Arinze Onuaku,C,29,ORL,8,5.8,4,6,2,0,1
2017,Aron Baynes,C,30,DET,75,13.1,365,333,32,17,39
2017,Arron Afflalo,SG,31,SAC,61,9,515,125,78,21,7
2017,Austin Rivers,SG,24,LAC,74,11.4,889,161,204,48,10
2017,Avery Bradley,SG,26,BOS,55,14.4,894,334,121,68,11
2017,Axel Toupane,SF,24,MIL,2,-9.9,0,0,0,0,0
2017,Axel Toupane,SF,24,NOP,2,8.6,11,1,0,1,1
2017,Ben Bentil,PF,21,DAL,3,-17.6,0,2,0,0,0
2017,Ben McLemore,SG,23,SAC,61,9.8,495,130,51,29,6
2017,Beno Udrih,PG,34,DET,39,16.1,227,57,131,13,0
2017,Bismack Biyombo,C,24,ORL,81,12.2,483,567,74,25,91
2017,Blake Griffin,PF,27,LAC,61,22.7,1316,496,300,58,23
2017,Boban Marjanovic,C,28,DET,35,29.6,191,130,9,6,12
2017,Bobby Brown,PG,32,HOU,25,10.8,62,6,14,1,0
2017,Bobby Portis,PF,21,CHI,64,14.9,437,296,35,16,11
2017,Bojan Bogdanovic,SF,27,BRK,55,13.1,783,197,90,24,3
2017,Bojan Bogdanovic,SF,27,WAS,26,14.7,330,80,21,10,4
2017,Boris Diaw,PF,34,UTA,73,9,338,158,170,18,9
2017,Bradley Beal,SG,23,WAS,77,20.1,1779,239,267,83,21
2017,Brandan Wright,PF,29,MEM,28,18.5,189,78,15,11,20
2017,Brandon Bass,PF,31,LAC,52,19.7,292,129,21,14,11
2017,Brandon Ingram,SF,19,LAL,79,8.5,740,317,166,50,36
2017,Brandon Jennings,PG,27,NYK,58,12.7,496,152,287,55,5
2017,Brandon Jennings,PG,27,WAS,23,9.7,81,44,108,15,0
2017,Brandon Knight,SG,25,PHO,54,12.3,595,118,130,27,5
2017,Brandon Rush,SG,31,MIN,47,6.6,197,99,45,22,23
2017,Brian Roberts,PG,31,CHO,41,9.8,142,39,52,9,1
2017,Briante Weber,PG,24,GSW,7,5.9,12,4,5,3,1
2017,Briante Weber,PG,24,CHO,13,12.5,50,22,16,9,0
2017,Brice Johnson,PF,22,LAC,3,17.2,4,3,1,2,1
2017,Brook Lopez,C,28,BRK,75,20.4,1539,403,176,38,124
2017,Bruno Caboclo,SF,21,TOR,9,14.6,14,10,4,2,1
2017,Bryn Forbes,SG,23,SAS,36,5.9,94,23,23,1,0
2017,Buddy Hield,SG,23,NOP,57,9.9,488,166,77,18,7
2017,Buddy Hield,SG,23,SAC,25,14.9,378,103,44,20,2
2017,C.J. McCollum,SG,25,POR,80,19.9,1837,291,285,72,42
2017,C.J. Miles,SF,29,IND,76,13.7,815,229,48,46,25
2017,C.J. Watson,PG,32,ORL,62,9.3,281,89,114,43,2
2017,C.J. Wilcox,SG,26,ORL,22,2.9,21,12,12,2,1
2017,Cameron Payne,PG,22,OKC,20,6.2,106,31,40,10,5
2017,Cameron Payne,PG,22,CHI,11,4,54,17,15,4,0
2017,Caris LeVert,SF,22,BRK,57,12.2,468,188,110,49,8
2017,Carmelo Anthony,SF,32,NYK,74,17.9,1659,436,213,60,34
2017,Chandler Parsons,SF,28,MEM,34,7.6,210,84,55,20,5
2017,Channing Frye,C,33,CLE,74,15.6,676,290,45,33,37
2017,Chasson Randle,PG,23,PHI,8,17.7,42,5,6,3,1
2017,Chasson Randle,PG,23,NYK,18,12.3,95,27,28,6,1
2017,Cheick Diallo,PF,20,NOP,17,16.8,87,73,4,4,7
2017,Chinanu Onuaku,C,20,HOU,5,12.3,14,10,3,3,1
